Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,0.0002
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
7.400e-02,2.96
7.420e-02,2.96
7.440e-02,2.88
7.460e-02,2.88
7.480e-02,2.96
7.500e-02,2.8
7.520e-02,2.8
7.540e-02,2.8
7.560e-02,2.96
7.580e-02,2.88
7.600e-02,2.88
7.620e-02,2.96
7.640e-02,2.96
7.660e-02,2.96
7.680e-02,2.88
7.700e-02,2.96
7.720e-02,2.96
7.740e-02,3.04
7.760e-02,3.04
7.780e-02,3.04
7.800e-02,3.04
7.820e-02,3.12
7.840e-02,3.04
7.860e-02,3.12
7.880e-02,3.04
7.900e-02,3.04
7.920e-02,3.04
7.940e-02,2.96
7.960e-02,3.04
7.980e-02,3.04
8.000e-02,3.12
8.020e-02,3.04
8.040e-02,3.12
8.060e-02,3.04
8.080e-02,3.04
8.100e-02,2.96
8.120e-02,2.96
8.140e-02,2.96
8.160e-02,2.88
8.180e-02,2.88
8.200e-02,2.8
8.220e-02,2.88
8.240e-02,2.88
8.260e-02,2.96
8.280e-02,2.96
8.300e-02,2.88
8.320e-02,2.88
8.340e-02,2.8
8.360e-02,2.8
8.380e-02,2.8
8.400e-02,2.88
8.420e-02,2.88
8.440e-02,2.88
8.460e-02,2.88
8.480e-02,2.96
8.500e-02,2.96
8.520e-02,2.96
8.540e-02,2.96
8.560e-02,2.88
8.580e-02,2.96
8.600e-02,2.96
8.620e-02,2.96
8.640e-02,2.96
8.660e-02,3.04
8.680e-02,3.04
8.700e-02,3.04
8.720e-02,2.96
8.740e-02,3.04
8.760e-02,3.12
8.780e-02,3.12
8.800e-02,3.12
8.820e-02,3.04
8.840e-02,3.04
8.860e-02,3.04
8.880e-02,3.04
8.900e-02,3.04
8.920e-02,2.96
8.940e-02,2.88
8.960e-02,2.88
8.980e-02,2.96
9.000e-02,2.8
9.020e-02,2.88
9.040e-02,2.8
9.060e-02,2.88
9.080e-02,2.96
9.100e-02,2.88
9.120e-02,2.88
9.140e-02,2.8
9.160e-02,2.8
9.180e-02,2.88
9.200e-02,2.88
9.220e-02,2.88
9.240e-02,2.8
9.260e-02,2.88
9.280e-02,2.88
9.300e-02,2.88
9.320e-02,2.96
9.340e-02,2.96
9.360e-02,3.04
9.380e-02,2.96
9.400e-02,2.96
9.420e-02,2.96
9.440e-02,3.04
9.460e-02,2.96
9.480e-02,2.96
9.500e-02,3.04
9.520e-02,3.04
9.540e-02,3.04
9.560e-02,3.04
9.580e-02,3.12
9.600e-02,3.04
9.620e-02,3.12
9.640e-02,3.12
9.660e-02,3.04
9.680e-02,3.04
9.700e-02,3.04
9.720e-02,3.04
9.740e-02,2.96
9.760e-02,3.04
9.780e-02,2.96
9.800e-02,2.96
9.820e-02,2.88
9.840e-02,2.8
9.860e-02,2.88
9.880e-02,2.88
9.900e-02,2.96
9.920e-02,2.96
9.940e-02,2.88
9.960e-02,2.88
9.980e-02,2.88

